ID Cliente,Nombre,Dirección,Correo Electrónico,Teléfono,Última Actualización (días),Pedido Válido,Tiempo Acceso (seg)
398,Ana García,Calle 456,anagmail.com,61234-5678,14,Válido,0.45
399,Juan Pérez,Calle 789,,,10,Inválido,0.25
400,Ana García,Calle 123,anagmail.com,+34 612345678,15,Válido,0.73
401,Juan Pérez,,,+34 612345678,8,Inválido,0.23
402,,Calle 123,luis.martinez@email.com,61234-5678,6,Inválido,0.66
403,Luis Martínez,Calle 789,,61234-5678,27,Inválido,0.63
404,Luis Martínez,Calle 123,anagmail.com,+34 698765432,9,Inválido,0.25
405,Ana García,Calle 789,anagmail.com,,14,Válido,0.26
406,,,,+34 612345678,19,Válido,0.78
407,Juan Pérez,Calle 456,juan.perez@email.com,+34 698765432,9,Inválido,0.74
408,Juan Pérez,Calle 789,luis.martinez@email.com,+34 698765432,4,Válido,0.65
409,,Calle 789,luis.martinez@email.com,61234-5678,22,Válido,0.74
410,Luis Martínez,Calle 123,luis.martinez@email.com,,20,Válido,0.64
411,,,anagmail.com,+34 698765432,17,Inválido,0.31
412,,,juan.perez@email.com,+34 612345678,2,Válido,0.72
413,Luis Martínez,,luis.martinez@email.com,,5,Inválido,0.51
414,Juan Pérez,Calle 456,luis.martinez@email.com,,18,Inválido,0.61
415,Luis Martínez,Calle 789,anagmail.com,,23,Válido,0.69
416,Ana García,Calle 456,,+34 698765432,1,Inválido,0.23
417,Juan Pérez,Calle 456,,,6,Inválido,0.35
418,Ana García,Calle 789,luis.martinez@email.com,+34 612345678,9,Válido,0.33
419,Luis Martínez,Calle 123,,+34 612345678,5,Válido,0.31
420,Juan Pérez,Calle 789,luis.martinez@email.com,+34 612345678,15,Inválido,0.76
421,Juan Pérez,Calle 789,,+34 612345678,24,Válido,0.51
422,Juan Pérez,Calle 123,anagmail.com,+34 698765432,24,Válido,0.53
423,Juan Pérez,Calle 789,luis.martinez@email.com,61234-5678,7,Válido,0.46
424,,Calle 123,luis.martinez@email.com,61234-5678,14,Inválido,0.73
425,Luis Martínez,Calle 789,juan.perez@email.com,,12,Inválido,0.77
426,,Calle 123,anagmail.com,,21,Válido,0.77
427,Luis Martínez,Calle 789,,,6,Válido,0.63
428,,Calle 456,luis.martinez@email.com,,10,Inválido,0.73
429,Juan Pérez,Calle 456,luis.martinez@email.com,61234-5678,24,Válido,0.51
430,,,anagmail.com,+34 698765432,6,Válido,0.7
431,Juan Pérez,Calle 789,anagmail.com,+34 612345678,14,Inválido,0.55
432,,Calle 789,juan.perez@email.com,+34 612345678,5,Válido,0.47
433,Ana García,,juan.perez@email.com,61234-5678,1,Válido,0.32
434,Ana García,Calle 123,luis.martinez@email.com,,16,Válido,0.21
435,Juan Pérez,Calle 789,juan.perez@email.com,,28,Inválido,0.56
436,Ana García,Calle 789,,,13,Inválido,0.66
437,,Calle 456,,61234-5678,2,Válido,0.39
438,Luis Martínez,Calle 123,anagmail.com,61234-5678,30,Inválido,0.35
439,Luis Martínez,Calle 789,luis.martinez@email.com,61234-5678,21,Inválido,0.48
440,,Calle 789,anagmail.com,+34 612345678,3,Inválido,0.56
441,,Calle 789,,,27,Válido,0.76
442,Juan Pérez,Calle 789,,,20,Válido,0.45
443,,Calle 789,juan.perez@email.com,,27,Válido,0.53
444,Luis Martínez,,luis.martinez@email.com,61234-5678,25,Válido,0.65
445,Luis Martínez,Calle 789,luis.martinez@email.com,+34 612345678,2,Inválido,0.42
446,Ana García,Calle 123,juan.perez@email.com,61234-5678,10,Válido,0.56
447,Juan Pérez,,anagmail.com,61234-5678,5,Válido,0.2
448,Ana García,Calle 123,anagmail.com,,29,Válido,0.25
449,,,anagmail.com,,15,Inválido,0.56
450,,Calle 123,luis.martinez@email.com,+34 612345678,5,Inválido,0.62
451,,,juan.perez@email.com,+34 612345678,6,Inválido,0.69
452,Luis Martínez,Calle 123,luis.martinez@email.com,+34 612345678,1,Válido,0.31
453,,Calle 789,anagmail.com,,15,Inválido,0.22
454,Juan Pérez,,luis.martinez@email.com,61234-5678,23,Inválido,0.21
455,Ana García,Calle 789,juan.perez@email.com,+34 612345678,14,Válido,0.55
456,,Calle 456,,+34 612345678,17,Válido,0.28
457,,Calle 123,,+34 612345678,11,Inválido,0.67
458,Luis Martínez,Calle 456,,,17,Válido,0.5
459,,Calle 789,luis.martinez@email.com,+34 698765432,20,Inválido,0.38
460,Ana García,Calle 789,anagmail.com,,12,Inválido,0.37
461,Juan Pérez,Calle 456,anagmail.com,61234-5678,4,Inválido,0.64
462,Juan Pérez,Calle 789,juan.perez@email.com,+34 698765432,28,Inválido,0.24
463,Ana García,Calle 456,,+34 698765432,12,Válido,0.58
464,Juan Pérez,Calle 123,luis.martinez@email.com,61234-5678,15,Inválido,0.43
465,Juan Pérez,,anagmail.com,61234-5678,10,Válido,0.46
466,Juan Pérez,Calle 456,luis.martinez@email.com,+34 612345678,28,Válido,0.35
467,Juan Pérez,Calle 123,juan.perez@email.com,+34 612345678,26,Válido,0.54
468,Luis Martínez,Calle 456,juan.perez@email.com,+34 612345678,14,Válido,0.79
469,,Calle 456,juan.perez@email.com,,11,Inválido,0.48
470,,,juan.perez@email.com,+34 698765432,4,Inválido,0.24
471,Luis Martínez,,luis.martinez@email.com,61234-5678,13,Válido,0.72
472,Ana García,Calle 123,luis.martinez@email.com,+34 698765432,19,Válido,0.67
473,Ana García,Calle 123,juan.perez@email.com,+34 612345678,15,Inválido,0.62
474,Juan Pérez,Calle 456,juan.perez@email.com,+34 612345678,10,Inválido,0.29
475,Ana García,Calle 456,luis.martinez@email.com,+34 698765432,16,Inválido,0.47
476,Luis Martínez,Calle 123,luis.martinez@email.com,,25,Inválido,0.37
477,,Calle 123,luis.martinez@email.com,,25,Inválido,0.31
478,Ana García,Calle 123,luis.martinez@email.com,,6,Inválido,0.51
479,Juan Pérez,Calle 123,,+34 612345678,24,Válido,0.68
480,,Calle 123,,61234-5678,2,Inválido,0.74
481,,Calle 789,anagmail.com,,17,Válido,0.47
482,Juan Pérez,Calle 789,anagmail.com,+34 612345678,3,Válido,0.53
483,,Calle 456,juan.perez@email.com,+34 612345678,4,Inválido,0.47
484,Ana García,Calle 789,juan.perez@email.com,61234-5678,19,Inválido,0.24
485,Luis Martínez,Calle 789,anagmail.com,+34 698765432,4,Inválido,0.25
486,,Calle 456,anagmail.com,,29,Inválido,0.54
487,Ana García,Calle 789,juan.perez@email.com,61234-5678,7,Inválido,0.79
488,,Calle 456,juan.perez@email.com,+34 698765432,19,Válido,0.24
489,,,anagmail.com,61234-5678,22,Inválido,0.65
490,Juan Pérez,Calle 789,luis.martinez@email.com,+34 698765432,15,Válido,0.75
491,Ana García,Calle 789,juan.perez@email.com,61234-5678,23,Inválido,0.75
492,Ana García,Calle 789,juan.perez@email.com,61234-5678,2,Inválido,0.68
493,Luis Martínez,,juan.perez@email.com,,15,Inválido,0.53
494,,Calle 789,anagmail.com,+34 698765432,28,Válido,0.24
495,Ana García,Calle 456,juan.perez@email.com,61234-5678,16,Válido,0.43
496,Juan Pérez,Calle 123,luis.martinez@email.com,61234-5678,30,Válido,0.47
497,Ana García,Calle 123,anagmail.com,+34 612345678,6,Inválido,0.7
498,Juan Pérez,Calle 123,anagmail.com,61234-5678,3,Inválido,0.65
499,Luis Martínez,Calle 456,anagmail.com,61234-5678,3,Válido,0.42
500,Ana García,Calle 456,juan.perez@email.com,61234-5678,6,Inválido,0.7
501,Luis Martínez,,juan.perez@email.com,,6,Válido,0.7
502,Juan Pérez,Calle 123,luis.martinez@email.com,+34 698765432,28,Válido,0.3
503,Juan Pérez,,luis.martinez@email.com,+34 612345678,20,Válido,0.72
504,Juan Pérez,,anagmail.com,+34 698765432,26,Inválido,0.68
505,Luis Martínez,,luis.martinez@email.com,,3,Inválido,0.6
506,Ana García,,juan.perez@email.com,+34 698765432,1,Válido,0.22
507,,Calle 123,,+34 698765432,20,Inválido,0.26
508,Juan Pérez,Calle 456,anagmail.com,,20,Válido,0.58
509,Juan Pérez,Calle 123,anagmail.com,,6,Válido,0.29
510,Juan Pérez,Calle 456,anagmail.com,61234-5678,7,Inválido,0.61
511,Ana García,Calle 123,luis.martinez@email.com,+34 698765432,24,Válido,0.68
512,Ana García,,juan.perez@email.com,,3,Válido,0.47
513,Juan Pérez,Calle 456,anagmail.com,+34 698765432,7,Inválido,0.77
514,,Calle 456,juan.perez@email.com,+34 698765432,2,Válido,0.59
515,Ana García,Calle 789,juan.perez@email.com,,3,Válido,0.67
516,,Calle 789,anagmail.com,,6,Válido,0.54
517,,,,+34 612345678,22,Inválido,0.45
518,Juan Pérez,Calle 456,anagmail.com,,24,Válido,0.4
519,Ana García,,,,5,Válido,0.48
520,Juan Pérez,,juan.perez@email.com,+34 612345678,2,Válido,0.22
521,,Calle 456,anagmail.com,61234-5678,24,Válido,0.56
522,,Calle 123,,,21,Inválido,0.42
523,Juan Pérez,,,+34 698765432,27,Válido,0.56
524,Luis Martínez,Calle 789,,61234-5678,19,Inválido,0.77
525,Ana García,,anagmail.com,+34 612345678,2,Válido,0.49
526,Luis Martínez,,,61234-5678,12,Inválido,0.22
527,Juan Pérez,,anagmail.com,+34 698765432,1,Inválido,0.64
528,Ana García,Calle 456,juan.perez@email.com,+34 612345678,11,Inválido,0.55
529,Juan Pérez,Calle 123,anagmail.com,61234-5678,18,Inválido,0.34
530,,Calle 123,,,25,Válido,0.44
531,Ana García,,juan.perez@email.com,+34 698765432,7,Inválido,0.75
532,Juan Pérez,Calle 456,anagmail.com,,5,Válido,0.79
533,Ana García,Calle 123,,,29,Inválido,0.4
534,Luis Martínez,Calle 123,anagmail.com,+34 612345678,26,Válido,0.21
535,Luis Martínez,Calle 456,luis.martinez@email.com,,27,Inválido,0.46
536,Juan Pérez,Calle 789,juan.perez@email.com,61234-5678,9,Inválido,0.65
537,,Calle 123,luis.martinez@email.com,+34 698765432,14,Válido,0.33
538,Juan Pérez,Calle 456,juan.perez@email.com,61234-5678,26,Válido,0.59
539,Ana García,,juan.perez@email.com,+34 612345678,19,Válido,0.41
540,Ana García,Calle 789,anagmail.com,,18,Inválido,0.36
541,Ana García,,anagmail.com,+34 612345678,12,Válido,0.51
542,,Calle 123,anagmail.com,,16,Válido,0.45
543,Juan Pérez,Calle 456,juan.perez@email.com,61234-5678,22,Inválido,0.43
544,Juan Pérez,Calle 456,anagmail.com,+34 612345678,19,Válido,0.64
545,Ana García,Calle 789,luis.martinez@email.com,61234-5678,10,Inválido,0.41
546,,Calle 789,juan.perez@email.com,,19,Inválido,0.41
547,Ana García,,juan.perez@email.com,+34 612345678,28,Inválido,0.39
548,Ana García,,anagmail.com,+34 698765432,25,Inválido,0.53
549,,Calle 789,juan.perez@email.com,,10,Inválido,0.44
550,Juan Pérez,Calle 456,,+34 698765432,27,Válido,0.59
551,,Calle 123,anagmail.com,+34 698765432,9,Inválido,0.31
552,,,anagmail.com,+34 698765432,23,Válido,0.45
553,Juan Pérez,Calle 456,anagmail.com,,16,Inválido,0.28
554,,,,+34 698765432,2,Inválido,0.76
555,Juan Pérez,,luis.martinez@email.com,61234-5678,30,Válido,0.38
556,,Calle 789,juan.perez@email.com,+34 698765432,7,Válido,0.7
557,Ana García,Calle 789,anagmail.com,+34 698765432,9,Válido,0.37
558,Ana García,,,61234-5678,20,Válido,0.57
559,,Calle 123,luis.martinez@email.com,+34 612345678,2,Válido,0.25
560,Luis Martínez,Calle 123,,,9,Válido,0.24
561,,Calle 789,,+34 612345678,1,Inválido,0.53
562,Juan Pérez,Calle 123,,+34 698765432,15,Válido,0.45
563,,,,,12,Inválido,0.66
564,Ana García,Calle 456,luis.martinez@email.com,61234-5678,1,Inválido,0.39
565,Ana García,Calle 123,,+34 612345678,29,Válido,0.42
566,,Calle 456,anagmail.com,61234-5678,13,Válido,0.79
567,Ana García,Calle 123,juan.perez@email.com,+34 612345678,8,Inválido,0.37
568,Juan Pérez,Calle 123,anagmail.com,61234-5678,11,Inválido,0.58
569,Ana García,Calle 456,anagmail.com,61234-5678,1,Inválido,0.71
570,Juan Pérez,Calle 123,,+34 612345678,1,Válido,0.22
571,Ana García,Calle 456,luis.martinez@email.com,,6,Inválido,0.72
572,Luis Martínez,Calle 123,,+34 698765432,9,Inválido,0.45
573,Luis Martínez,Calle 456,luis.martinez@email.com,61234-5678,11,Válido,0.22
574,Luis Martínez,,juan.perez@email.com,,18,Válido,0.78
575,Juan Pérez,,anagmail.com,+34 612345678,6,Válido,0.32
576,Juan Pérez,Calle 789,anagmail.com,+34 698765432,5,Inválido,0.41
577,Juan Pérez,Calle 789,anagmail.com,+34 698765432,10,Válido,0.78
578,Juan Pérez,Calle 456,,61234-5678,30,Válido,0.72
579,Luis Martínez,Calle 456,,61234-5678,28,Inválido,0.3
580,Luis Martínez,Calle 456,juan.perez@email.com,+34 698765432,7,Inválido,0.48
581,Luis Martínez,,luis.martinez@email.com,61234-5678,15,Inválido,0.79
582,,Calle 789,luis.martinez@email.com,,26,Inválido,0.21
583,Luis Martínez,Calle 456,,+34 612345678,24,Inválido,0.46
584,Luis Martínez,Calle 456,juan.perez@email.com,,23,Válido,0.58
585,Luis Martínez,,anagmail.com,61234-5678,30,Válido,0.57
586,,Calle 789,luis.martinez@email.com,+34 612345678,13,Inválido,0.68
587,Ana García,Calle 456,,,30,Inválido,0.25
588,Ana García,Calle 789,juan.perez@email.com,+34 698765432,25,Inválido,0.39
589,Juan Pérez,Calle 123,juan.perez@email.com,61234-5678,15,Válido,0.51
590,Juan Pérez,,juan.perez@email.com,+34 698765432,15,Inválido,0.39
591,,Calle 456,juan.perez@email.com,,30,Válido,0.34
592,Ana García,,juan.perez@email.com,61234-5678,12,Inválido,0.24
593,,Calle 789,luis.martinez@email.com,+34 698765432,17,Inválido,0.45
594,Luis Martínez,,juan.perez@email.com,+34 612345678,23,Inválido,0.65
595,Ana García,Calle 456,anagmail.com,,24,Válido,0.62
596,Juan Pérez,,anagmail.com,+34 612345678,19,Inválido,0.58
597,,Calle 456,juan.perez@email.com,+34 698765432,9,Válido,0.29
598,Juan Pérez,Calle 789,luis.martinez@email.com,+34 698765432,18,Inválido,0.38
599,Juan Pérez,Calle 123,,+34 612345678,15,Válido,0.63
600,Luis Martínez,Calle 123,anagmail.com,+34 612345678,21,Inválido,0.27
601,Luis Martínez,,juan.perez@email.com,+34 698765432,1,Válido,0.21
602,Juan Pérez,Calle 123,luis.martinez@email.com,61234-5678,24,Inválido,0.29
603,,Calle 456,anagmail.com,+34 612345678,6,Válido,0.65
604,Luis Martínez,Calle 123,luis.martinez@email.com,61234-5678,6,Válido,0.46
605,Juan Pérez,Calle 123,anagmail.com,+34 612345678,17,Válido,0.51
606,Luis Martínez,Calle 789,juan.perez@email.com,61234-5678,25,Inválido,0.63
607,Juan Pérez,Calle 123,anagmail.com,,16,Inválido,0.54
608,Ana García,Calle 789,juan.perez@email.com,61234-5678,6,Válido,0.23
609,Luis Martínez,Calle 789,juan.perez@email.com,61234-5678,13,Válido,0.65
610,Ana García,Calle 123,juan.perez@email.com,,2,Inválido,0.78
611,Ana García,Calle 789,luis.martinez@email.com,,6,Válido,0.28
612,Juan Pérez,Calle 789,anagmail.com,+34 698765432,22,Inválido,0.28
613,Ana García,,luis.martinez@email.com,+34 612345678,8,Inválido,0.74
614,Ana García,Calle 456,luis.martinez@email.com,+34 698765432,3,Inválido,0.45
615,Juan Pérez,,juan.perez@email.com,,5,Válido,0.63
616,Juan Pérez,,anagmail.com,61234-5678,3,Inválido,0.49
617,,Calle 456,luis.martinez@email.com,+34 698765432,4,Válido,0.28
618,Juan Pérez,,,,14,Inválido,0.5
619,Luis Martínez,,juan.perez@email.com,+34 612345678,17,Inválido,0.43
620,,,juan.perez@email.com,,29,Válido,0.53
621,Luis Martínez,Calle 123,anagmail.com,,7,Válido,0.77
622,Juan Pérez,,luis.martinez@email.com,+34 612345678,30,Inválido,0.72
623,Juan Pérez,Calle 456,luis.martinez@email.com,+34 612345678,30,Inválido,0.77
624,Luis Martínez,,juan.perez@email.com,+34 612345678,6,Válido,0.27
625,Luis Martínez,,luis.martinez@email.com,,21,Inválido,0.59
626,Juan Pérez,Calle 123,anagmail.com,+34 698765432,3,Inválido,0.44
627,,Calle 123,,61234-5678,11,Inválido,0.31
628,Luis Martínez,,luis.martinez@email.com,+34 698765432,13,Válido,0.75
629,,,anagmail.com,+34 612345678,24,Válido,0.67
630,Juan Pérez,Calle 789,,61234-5678,23,Válido,0.55
631,Ana García,,juan.perez@email.com,61234-5678,20,Válido,0.79
632,Juan Pérez,Calle 123,,+34 698765432,1,Inválido,0.74
633,Luis Martínez,,anagmail.com,+34 698765432,29,Inválido,0.3
634,,,,+34 612345678,4,Válido,0.56
635,Juan Pérez,Calle 123,luis.martinez@email.com,+34 612345678,10,Válido,0.57
636,Luis Martínez,,luis.martinez@email.com,,23,Válido,0.75
637,Luis Martínez,Calle 456,luis.martinez@email.com,61234-5678,19,Válido,0.49
638,,,anagmail.com,+34 612345678,10,Válido,0.26
639,Juan Pérez,Calle 123,anagmail.com,+34 698765432,25,Válido,0.63
640,,Calle 123,juan.perez@email.com,61234-5678,6,Inválido,0.71
641,,,,61234-5678,28,Válido,0.48
642,Luis Martínez,,anagmail.com,+34 698765432,8,Válido,0.39
643,Luis Martínez,Calle 456,luis.martinez@email.com,,6,Válido,0.33
644,Luis Martínez,,anagmail.com,,16,Válido,0.3
645,,Calle 123,anagmail.com,61234-5678,9,Inválido,0.27
646,,Calle 123,anagmail.com,+34 612345678,5,Válido,0.38
647,,,luis.martinez@email.com,+34 698765432,2,Válido,0.25
648,Luis Martínez,,luis.martinez@email.com,+34 612345678,28,Inválido,0.62
649,Juan Pérez,Calle 456,luis.martinez@email.com,,7,Inválido,0.3
650,Luis Martínez,Calle 789,juan.perez@email.com,61234-5678,20,Válido,0.29
651,Juan Pérez,,,,12,Inválido,0.59
652,Ana García,Calle 123,anagmail.com,,18,Inválido,0.51
653,Ana García,,luis.martinez@email.com,+34 612345678,23,Válido,0.4
654,Luis Martínez,,,61234-5678,16,Válido,0.23
655,Luis Martínez,,luis.martinez@email.com,,11,Inválido,0.56
656,Ana García,,juan.perez@email.com,61234-5678,15,Válido,0.53
657,Juan Pérez,,juan.perez@email.com,61234-5678,12,Válido,0.26
658,,Calle 456,luis.martinez@email.com,61234-5678,14,Inválido,0.29
659,Luis Martínez,Calle 456,juan.perez@email.com,61234-5678,25,Válido,0.5
660,,Calle 789,anagmail.com,+34 612345678,2,Válido,0.38
661,Juan Pérez,Calle 456,anagmail.com,61234-5678,7,Válido,0.57
662,Ana García,Calle 789,anagmail.com,61234-5678,20,Válido,0.35
663,,Calle 789,,+34 612345678,29,Válido,0.79
664,,Calle 123,luis.martinez@email.com,+34 612345678,16,Inválido,0.32
665,Ana García,Calle 123,,61234-5678,13,Válido,0.79
666,,Calle 456,,,25,Inválido,0.63
667,Ana García,Calle 789,juan.perez@email.com,,19,Válido,0.24
668,,Calle 123,anagmail.com,61234-5678,28,Válido,0.72
669,Luis Martínez,,,,17,Válido,0.31
670,Luis Martínez,Calle 456,anagmail.com,+34 612345678,15,Válido,0.29
671,Luis Martínez,Calle 123,luis.martinez@email.com,61234-5678,22,Válido,0.55
672,,Calle 789,,+34 698765432,5,Inválido,0.42
673,Juan Pérez,Calle 789,,,13,Inválido,0.24
674,Juan Pérez,Calle 456,anagmail.com,+34 612345678,18,Válido,0.41
675,Juan Pérez,Calle 456,anagmail.com,,19,Inválido,0.57
676,Luis Martínez,Calle 789,,61234-5678,20,Inválido,0.73
677,Luis Martínez,Calle 123,,61234-5678,9,Inválido,0.47
678,,,anagmail.com,61234-5678,8,Inválido,0.49
679,Juan Pérez,Calle 789,luis.martinez@email.com,,18,Válido,0.71
680,,Calle 456,luis.martinez@email.com,+34 698765432,7,Válido,0.5
681,Luis Martínez,Calle 789,,61234-5678,2,Inválido,0.29
682,Ana García,,juan.perez@email.com,+34 612345678,7,Inválido,0.29
683,,Calle 456,luis.martinez@email.com,+34 612345678,6,Inválido,0.37
684,Ana García,Calle 789,anagmail.com,,14,Válido,0.23
685,Juan Pérez,Calle 456,juan.perez@email.com,+34 698765432,9,Válido,0.72
686,Ana García,Calle 123,luis.martinez@email.com,,3,Válido,0.52
687,Juan Pérez,,luis.martinez@email.com,61234-5678,17,Inválido,0.74
688,Juan Pérez,Calle 456,luis.martinez@email.com,61234-5678,22,Válido,0.21
689,,Calle 456,luis.martinez@email.com,,6,Inválido,0.27
690,Luis Martínez,Calle 123,juan.perez@email.com,,8,Válido,0.31
691,,Calle 789,juan.perez@email.com,+34 698765432,15,Inválido,0.54
692,,Calle 123,luis.martinez@email.com,,30,Inválido,0.54
693,,,luis.martinez@email.com,61234-5678,14,Inválido,0.22
694,,Calle 456,anagmail.com,+34 698765432,13,Válido,0.55
695,Juan Pérez,Calle 123,,+34 698765432,23,Inválido,0.28
696,Ana García,Calle 123,,+34 698765432,24,Inválido,0.38
697,,Calle 789,luis.martinez@email.com,,29,Inválido,0.38
698,Luis Martínez,Calle 456,juan.perez@email.com,61234-5678,1,Inválido,0.26
699,Juan Pérez,Calle 123,luis.martinez@email.com,,5,Inválido,0.29
700,Juan Pérez,Calle 789,luis.martinez@email.com,+34 698765432,3,Inválido,0.79
701,Juan Pérez,,luis.martinez@email.com,+34 612345678,2,Inválido,0.29
702,Ana García,Calle 123,,61234-5678,8,Válido,0.69
703,Luis Martínez,Calle 789,,+34 698765432,8,Inválido,0.75
704,,Calle 789,anagmail.com,+34 612345678,2,Inválido,0.57
705,Juan Pérez,Calle 123,,+34 698765432,6,Inválido,0.34
706,Luis Martínez,Calle 789,anagmail.com,,11,Válido,0.29
707,Luis Martínez,,anagmail.com,61234-5678,10,Válido,0.72
708,,,luis.martinez@email.com,+34 612345678,22,Inválido,0.47
709,,Calle 789,luis.martinez@email.com,+34 698765432,21,Válido,0.74
710,,,luis.martinez@email.com,,1,Inválido,0.23
711,Ana García,Calle 456,anagmail.com,,23,Válido,0.76
712,,Calle 789,,61234-5678,12,Válido,0.36
713,Ana García,Calle 123,luis.martinez@email.com,+34 612345678,25,Inválido,0.75
714,,Calle 789,luis.martinez@email.com,,5,Válido,0.74
715,Juan Pérez,Calle 789,luis.martinez@email.com,+34 612345678,7,Inválido,0.47
716,Ana García,Calle 123,luis.martinez@email.com,61234-5678,15,Inválido,0.42
717,Luis Martínez,Calle 456,luis.martinez@email.com,+34 612345678,21,Inválido,0.57
718,,Calle 456,juan.perez@email.com,,28,Válido,0.57
719,Luis Martínez,Calle 456,luis.martinez@email.com,,5,Válido,0.37
720,Ana García,Calle 456,luis.martinez@email.com,+34 698765432,6,Válido,0.72
721,Ana García,,luis.martinez@email.com,+34 698765432,3,Inválido,0.28
722,Juan Pérez,Calle 123,anagmail.com,+34 612345678,11,Inválido,0.47
723,Juan Pérez,,anagmail.com,+34 612345678,28,Inválido,0.52
724,Luis Martínez,Calle 789,juan.perez@email.com,+34 612345678,17,Inválido,0.79
725,Luis Martínez,Calle 123,anagmail.com,+34 698765432,5,Inválido,0.25
726,Luis Martínez,Calle 789,,+34 612345678,30,Válido,0.52
727,Luis Martínez,Calle 123,anagmail.com,61234-5678,30,Válido,0.28
728,,Calle 123,juan.perez@email.com,+34 698765432,18,Válido,0.4
729,Juan Pérez,,luis.martinez@email.com,,21,Inválido,0.59
730,Ana García,Calle 456,luis.martinez@email.com,+34 698765432,11,Válido,0.68
731,Luis Martínez,Calle 456,,+34 698765432,20,Válido,0.21
732,Luis Martínez,Calle 789,luis.martinez@email.com,+34 698765432,28,Válido,0.56
733,Luis Martínez,,anagmail.com,+34 698765432,22,Inválido,0.51
734,,Calle 123,,61234-5678,14,Válido,0.3
735,Juan Pérez,Calle 456,anagmail.com,,30,Inválido,0.31
736,Luis Martínez,Calle 789,juan.perez@email.com,+34 698765432,1,Inválido,0.28
737,Ana García,Calle 789,,,28,Inválido,0.25
738,Juan Pérez,Calle 456,juan.perez@email.com,+34 612345678,5,Válido,0.6
739,,Calle 123,,+34 612345678,20,Inválido,0.64
740,Ana García,,juan.perez@email.com,61234-5678,28,Inválido,0.35
741,Juan Pérez,Calle 789,juan.perez@email.com,+34 698765432,2,Inválido,0.24
742,Ana García,,luis.martinez@email.com,+34 698765432,25,Válido,0.77
743,,,,61234-5678,3,Válido,0.76
744,Luis Martínez,,luis.martinez@email.com,,15,Inválido,0.63
745,Ana García,Calle 456,juan.perez@email.com,+34 698765432,13,Inválido,0.35
746,Luis Martínez,Calle 456,anagmail.com,+34 698765432,2,Inválido,0.45
747,Ana García,Calle 123,anagmail.com,,30,Válido,0.71
748,Luis Martínez,Calle 456,,61234-5678,25,Válido,0.51
749,Juan Pérez,Calle 456,,61234-5678,7,Válido,0.73
750,,,juan.perez@email.com,,1,Válido,0.76
751,,Calle 789,,+34 612345678,21,Inválido,0.29
752,Juan Pérez,Calle 789,,+34 698765432,3,Inválido,0.22
753,Luis Martínez,Calle 456,anagmail.com,+34 612345678,11,Inválido,0.21
754,Juan Pérez,Calle 123,anagmail.com,+34 612345678,5,Válido,0.74
755,Luis Martínez,Calle 456,,61234-5678,30,Válido,0.49
756,,Calle 789,luis.martinez@email.com,+34 698765432,30,Válido,0.37
757,Juan Pérez,Calle 123,,,19,Inválido,0.77
758,Luis Martínez,Calle 789,juan.perez@email.com,+34 698765432,7,Inválido,0.3
759,Luis Martínez,Calle 789,anagmail.com,61234-5678,29,Inválido,0.4
760,Ana García,Calle 789,anagmail.com,61234-5678,20,Válido,0.36
761,Juan Pérez,Calle 123,luis.martinez@email.com,,27,Válido,0.33
762,Ana García,Calle 456,,+34 612345678,4,Válido,0.27
763,,Calle 456,luis.martinez@email.com,,4,Inválido,0.22
764,Luis Martínez,Calle 789,,,21,Válido,0.64
765,Ana García,Calle 123,,+34 612345678,12,Válido,0.35
766,,Calle 123,,,26,Inválido,0.3
767,Ana García,Calle 123,anagmail.com,+34 698765432,22,Válido,0.68
768,Ana García,Calle 123,juan.perez@email.com,,27,Inválido,0.35
769,Luis Martínez,,luis.martinez@email.com,+34 612345678,5,Válido,0.74
770,Ana García,Calle 123,anagmail.com,61234-5678,16,Válido,0.21
771,,Calle 456,,+34 612345678,1,Válido,0.59
772,,Calle 123,,+34 698765432,30,Inválido,0.3
773,,,luis.martinez@email.com,61234-5678,5,Inválido,0.74
774,Luis Martínez,Calle 123,luis.martinez@email.com,+34 698765432,21,Válido,0.21
775,Luis Martínez,Calle 789,,+34 698765432,30,Válido,0.52
776,Juan Pérez,Calle 456,,+34 698765432,12,Válido,0.45
777,Juan Pérez,Calle 456,luis.martinez@email.com,,8,Inválido,0.39
778,,Calle 456,,+34 698765432,16,Inválido,0.59
779,Ana García,,juan.perez@email.com,+34 698765432,11,Inválido,0.4
780,,Calle 456,juan.perez@email.com,+34 698765432,18,Inválido,0.23
781,Ana García,Calle 789,,,16,Válido,0.43
782,Juan Pérez,Calle 456,,+34 698765432,22,Válido,0.31
783,,Calle 456,anagmail.com,+34 612345678,23,Inválido,0.59
784,Ana García,Calle 123,anagmail.com,+34 612345678,16,Válido,0.77
785,,Calle 123,,61234-5678,4,Inválido,0.51
786,Luis Martínez,Calle 456,juan.perez@email.com,61234-5678,8,Inválido,0.59
787,,Calle 789,anagmail.com,+34 698765432,21,Inválido,0.55
788,Ana García,,luis.martinez@email.com,,11,Válido,0.45
789,Luis Martínez,Calle 789,anagmail.com,61234-5678,3,Válido,0.31
790,Juan Pérez,,,+34 698765432,30,Inválido,0.67
791,Juan Pérez,Calle 789,luis.martinez@email.com,+34 612345678,30,Válido,0.66
792,,Calle 456,anagmail.com,61234-5678,19,Inválido,0.55
793,,Calle 456,,,24,Válido,0.36
